date,total_cases
2021-07-11,33847795
2021-07-12,33876732
2021-07-13,33911860
2021-07-14,33950376
2021-07-15,33991154
2021-07-16,34033629
2021-07-17,34066026
2021-07-18,34094218
2021-07-19,34139516
2021-07-20,34190770
2021-07-21,34252561
2021-07-22,34324603
2021-07-23,34394635
2021-07-24,34448866
2021-07-25,34492373
2021-07-26,34563761
2021-07-27,34649789
2021-07-28,34739462
2021-07-29,34839357
2021-07-30,34944688
2021-07-31,35026005
2021-08-01,35087867
2021-08-02,35190492
2021-08-03,35301196
2021-08-04,35429269
2021-08-05,35558182
2021-08-06,35692623
2021-08-07,35813799
2021-08-08,35911410
2021-08-09,36004830
2021-08-10,36140881
2021-08-11,36285552
2021-08-12,36438139
2021-08-13,36585495
2021-08-14,36726649
2021-08-15,36838059
2021-08-16,36947434
2021-08-17,37098232
2021-08-18,37266899
2021-08-19,37442679
2021-08-20,37612196
2021-08-21,37754903
2021-08-22,37880249
2021-08-23,38001417
2021-08-24,38164901
2021-08-25,38343063
2021-08-26,38530517
2021-08-27,38713675
2021-08-28,38864504
2021-08-29,38980856
2021-08-30,39119921
2021-08-31,39297475
2021-09-01,39495830
2021-09-02,39680347
2021-09-03,39863372
2021-09-04,40005947
2021-09-05,40129437
2021-09-06,40245714
2021-09-07,40361091
2021-09-08,40532919
2021-09-09,40717533
2021-09-10,40890197
2021-09-11,41044304
2021-09-12,41158609
2021-09-13,41277873
2021-09-14,41440540
2021-09-15,41604401
2021-09-16,41772349
2021-09-17,41931310
2021-09-18,42054274
2021-09-19,42149251
2021-09-20,42247880
2021-09-21,42381361
2021-09-22,42514387
2021-09-23,42653098
2021-09-24,42786202
2021-09-25,42882688
2021-09-26,42958252
2021-09-27,43065793
2021-09-28,43181692
2021-09-29,43298827
2021-09-30,43423126
2021-10-01,43544067
2021-10-02,43626370
2021-10-03,43693230
2021-10-04,43785284
2021-10-05,43887401
2021-10-06,44005976
2021-10-07,44119310
2021-10-08,44227991
2021-10-09,44298775
2021-10-10,44357510
2021-10-11,44435677
2021-10-12,44525626
2021-10-13,44622131
2021-10-14,44719366
2021-10-15,44811962
2021-10-16,44875185
2021-10-17,44923001
2021-10-18,44995504
2021-10-19,45076347
2021-10-20,45153108
2021-10-21,45240925
2021-10-22,45321969
2021-10-23,45358260
2021-10-24,45386502
2021-10-25,45471149
2021-10-26,45573154
2021-10-27,45657594
2021-10-28,45760991
2021-10-29,45849619
2021-10-30,45884664
2021-10-31,45910169
2021-11-01,46028066
2021-11-02,46102898
2021-11-03,46181932
2021-11-04,46270994
2021-11-05,46361058
2021-11-06,46397257
2021-11-07,46428903
2021-11-08,46545466
2021-11-09,46628534
2021-11-10,46722474
2021-11-11,46796760
2021-11-12,46920067
2021-11-13,46989381
2021-11-14,47023096
2021-11-15,47156822
2021-11-16,47253935
2021-11-17,47359927
2021-11-18,47484048
2021-11-19,47598134
2021-11-20,47644339
2021-11-21,47683224
2021-11-22,47828733
2021-11-23,47929939
2021-11-24,48036728
2021-11-25,48109492
2021-11-26,48191391
2021-11-27,48243314
2021-11-28,48299906
2021-11-29,48393583
2021-11-30,48514334
2021-12-01,48647813
2021-12-02,48791970
2021-12-03,48943810
2021-12-04,49011205
2021-12-05,49066696
2021-12-06,49250847
2021-12-07,49376654
2021-12-08,49506553
2021-12-09,49644483
2021-12-10,49780204
2021-12-11,49844439
2021-12-12,49902699
2021-12-13,50088587
